id	title	original_steps_list	steps	labels_list
232996	"""BEST Garlic Parmesan Croutons"""	"[""Preheat oven to 300 degrees F (150 degrees C)."", ""Put cubes in a large bowl and season generously with creole seasoning."", ""Melt butter in a saucepan over medium-low heat. Stir Parmesan cheese, garlic, and onion powder into the melted butter; pour over the bread cubes and toss to coat. Spread bread cubes onto a large baking sheet."", ""Bake in preheated oven for 10 minutes, stir, and continue baking until golden brown and crispy, about 10 minutes more.""]"	"""Preheat oven to 300 degrees F (150 degrees C). Put cubes in a large bowl and season generously with creole seasoning. Melt butter in a saucepan over medium-low heat. Stir Parmesan cheese, garlic, and onion powder into the melted butter; pour over the bread cubes and toss to coat. Spread bread cubes onto a large baking sheet. Bake in preheated oven for 10 minutes, stir, and continue baking until golden brown and crispy, about 10 minutes more. """	[46, 117, 326]
281691	"""Patty Pan Squash and Rice Casserole"""	"[""Preheat the oven to 325 degrees F (165 degrees C)."", ""Peel squash and cut into 1-inch cubes."", ""Heat olive oil in a large skillet over medium heat. Add sausage and onion; cook and stir until onion is translucent and sausage is browned and crumbly, 5 to 7 minutes. Drain and discard grease."", ""Stir in rice; saute until rice is lightly browned, 2 to 3 minutes. Transfer to a Dutch oven, add tomatoes and water, and season with salt and pepper."", ""Bake, covered, until bubbly and rice is cooked through, about 1 hour.""]"	"""Preheat the oven to 325 degrees F (165 degrees C). Peel squash and cut into 1-inch cubes. Heat olive oil in a large skillet over medium heat. Add sausage and onion; cook and stir until onion is translucent and sausage is browned and crumbly, 5 to 7 minutes. Drain and discard grease. Stir in rice; saute until rice is lightly browned, 2 to 3 minutes. Transfer to a Dutch oven, add tomatoes and water, and season with salt and pepper. Bake, covered, until bubbly and rice is cooked through, about 1 hour. """	[50, 89, 283, 433]
221256	"""Chicken Taco Filling"""	"[""Mix chicken broth and taco seasoning in a bowl."", ""Place chicken breasts in a slow cooker and pour chicken broth mixture over chicken."", ""Cover and cook on Low for 6 to 8 hours."", ""Shred chicken to serve.""]"	"""Mix chicken broth and taco seasoning in a bowl. Place chicken breasts in a slow cooker and pour chicken broth mixture over chicken. Cover and cook on Low for 6 to 8 hours. Shred chicken to serve. """	[47, 131, 171]
231887	"""Cheesy Mashed Potato Stuffed Mushrooms"""	"[""Preheat oven to 350 degrees F."", ""Prepare mashed potatoes according to package directions."", ""Add shredded cheese (reserve enough to top mushrooms), chives and bacon."", ""Remove stems from clean mushrooms and stuff caps with potato mixture."", ""Spread olive oil and minced garlic on bottom of walled cookie sheet or baking dish. Place mushrooms on top."", ""Sprinkle shredded cheddar over the top of the mushrooms."", ""Bake for 20-25 minutes.""]"	"""Preheat oven to 350 degrees F. Prepare mashed potatoes according to package directions. Add shredded cheese (reserve enough to top mushrooms), chives and bacon. Remove stems from clean mushrooms and stuff caps with potato mixture. Spread olive oil and minced garlic on bottom of walled cookie sheet or baking dish. Place mushrooms on top. Sprinkle shredded cheddar over the top of the mushrooms. Bake for 20-25 minutes. """	[30, 87, 160, 230, 338, 395]
25893	"""Baked Zesty Carrots"""	"[""Preheat oven to 350 degrees F (175 degrees C). Place carrots in a 9x13 inch baking dish."", ""In a medium bowl combine cream, horseradish, onion, mayonnaise, salt and pepper. Pour mixture over carrots."", ""Combine melted butter and corn flakes; sprinkle over carrots."", ""Bake in preheated oven for 15 to 20 minutes, or until heated through.""]"	"""Preheat oven to 350 degrees F (175 degrees C). Place carrots in a 9x13 inch baking dish. In a medium bowl combine cream, horseradish, onion, mayonnaise, salt and pepper. Pour mixture over carrots. Combine melted butter and corn flakes; sprinkle over carrots. Bake in preheated oven for 15 to 20 minutes, or until heated through. """	[88, 196, 258]
275687	"""Sweet Potato-Chocolate Chip Muffins"""	"[""Preheat the oven to 375 degrees F (190 degrees C). Grease or line 15 muffin cups with paper liners."", ""Mix sweet potato, brown sugar, oil, water, and eggs together in a large bowl using an electric mixer or by hand."", ""Mix flour, pumpkin pie spice, baking powder, baking soda, cinnamon, and salt together in a separate bowl. Blend into sweet potato mixture until combined. Stir in chocolate chips."", ""Spoon batter into the prepared muffin cups, filling each about 3/4 full."", ""Bake in the preheated oven until a toothpick inserted into the center of a muffin comes out clean, about 25 minutes.""]"	"""Preheat the oven to 375 degrees F (190 degrees C). Grease or line 15 muffin cups with paper liners. Mix sweet potato, brown sugar, oil, water, and eggs together in a large bowl using an electric mixer or by hand. Mix flour, pumpkin pie spice, baking powder, baking soda, cinnamon, and salt together in a separate bowl. Blend into sweet potato mixture until combined. Stir in chocolate chips. Spoon batter into the prepared muffin cups, filling each about 3/4 full. Bake in the preheated oven until a toothpick inserted into the center of a muffin comes out clean, about 25 minutes. """	[99, 212, 391, 464]
19734	"""Passover Apple Cake"""	"[""Preheat oven to 350 degrees F (175 degrees C and grease a 9x13 inch glass baking dish."", ""Combine eggs, oil and sugar in large bowl with electric mixer. Stir in matzo meal, potato starch and 1 teaspoon cinnamon."", ""In a separate bowl, toss apples with brown sugar, 1 teaspoon cinnamon and nutmeg."", ""Layer half of the dough into the prepared 9x13 inch dish. Pour the apples into the dish then pat remaining dough over the apples. Sprinkle with some brown sugar, if desired."", ""Bake in a preheated 350 degrees F (175 degrees C) oven for 45 minutes.""]"	"""Preheat oven to 350 degrees F (175 degrees C and grease a 9x13 inch glass baking dish. Combine eggs, oil and sugar in large bowl with electric mixer. Stir in matzo meal, potato starch and 1 teaspoon cinnamon. In a separate bowl, toss apples with brown sugar, 1 teaspoon cinnamon and nutmeg. Layer half of the dough into the prepared 9x13 inch dish. Pour the apples into the dish then pat remaining dough over the apples. Sprinkle with some brown sugar, if desired. Bake in a preheated 350 degrees F (175 degrees C) oven for 45 minutes. """	[86, 208, 290, 464]
261514	"""Cinnamon Chip Bread"""	"[""Place flour, milk, butter, honey, egg, potato flakes, yeast, milk, salt, vanilla extract, cinnamon, and baking powder in a bread machine in the order listed by the manufacturer. Run Dough cycle. Remove dough from the machine after the cycle is done, about 1 hour 45 minutes."", ""Refrigerate dough until cool, about 1 hour."", ""Transfer dough to a bowl of a stand mixer with a paddle attachment; mix in cinnamon chips using the dough hook."", ""Place dough in a round pie plate; let rise until about doubled in volume, 1 to 2 hours."", ""Preheat oven to 375 degrees F (190 degrees C). Cover dough loosely with a tent of aluminum foil."", ""Bake in the preheated oven until an instant-read thermometer inserted into the center reads 175 degrees F (80 degrees C), 40 to 50 minutes.""]"	"""Place flour, milk, butter, honey, egg, potato flakes, yeast, milk, salt, vanilla extract, cinnamon, and baking powder in a bread machine in the order listed by the manufacturer. Run Dough cycle. Remove dough from the machine after the cycle is done, about 1 hour 45 minutes. Refrigerate dough until cool, about 1 hour. Transfer dough to a bowl of a stand mixer with a paddle attachment; mix in cinnamon chips using the dough hook. Place dough in a round pie plate; let rise until about doubled in volume, 1 to 2 hours. Preheat oven to 375 degrees F (190 degrees C). Cover dough loosely with a tent of aluminum foil. Bake in the preheated oven until an instant-read thermometer inserted into the center reads 175 degrees F (80 degrees C), 40 to 50 minutes. """	[274, 318, 430, 518, 615]
221172	"""White Chocolate Strawberry Cake"""	"[""Preheat oven to 350 degrees F (175 degrees C)."", ""Grease two 9-inch round cake pans and line with waxed paper."", ""Mix flour and baking powder in a bowl."", ""Beat white sugar, butter, and gelatin together in a separate bowl until fluffy; add eggs, one at a time, beating well with each addition."", ""Stir alternately flour mixture then milk, into sugar mixture to form a smooth batter. Stir vanilla extract and strawberries into batter until combined."", ""Divide batter between prepared cake pans."", ""Bake in the preheated oven until a toothpick inserted into the center of both cakes comes out clean, 25 to 30 minutes; cool completely."", ""Stir cream cheese, white chocolate, and heavy whipping cream in a saucepan over medium heat until combined and white chocolate is melted, about 5 minutes."", ""Stir confectioners' sugar into cream cheese mixture until a smooth frosting forms. Allow to cool and set."", ""Spread a layer of frosting over the top of one cake. Place the second cake on top of frosting layer. Frost the top of second cake and sides of both cakes with remaining frosting.""]"	"""Preheat oven to 350 degrees F (175 degrees C). Grease two 9-inch round cake pans and line with waxed paper. Mix flour and baking powder in a bowl. Beat white sugar, butter, and gelatin together in a separate bowl until fluffy; add eggs, one at a time, beating well with each addition. Stir alternately flour mixture then milk, into sugar mixture to form a smooth batter. Stir vanilla extract and strawberries into batter until combined. Divide batter between prepared cake pans. Bake in the preheated oven until a toothpick inserted into the center of both cakes comes out clean, 25 to 30 minutes; cool completely. Stir cream cheese, white chocolate, and heavy whipping cream in a saucepan over medium heat until combined and white chocolate is melted, about 5 minutes. Stir confectioners' sugar into cream cheese mixture until a smooth frosting forms. Allow to cool and set. Spread a layer of frosting over the top of one cake. Place the second cake on top of frosting layer. Frost the top of second cake and sides of both cakes with remaining frosting. """	[46, 107, 146, 284, 436, 478, 614, 769, 875]
245052	"""Pan-Fried Dover Sole"""	"[""Spread crushed crackers onto a plate. Pour eggs into a shallow dish."", ""Place fish in a 1-gallon plastic bag and add flour; gently shake until completely coated."", ""Heat oil in a large, non-stick skillet over medium-high heat."", ""Dip each flour-coated piece of fish in the egg, allowing excess to drip back into dish. Press coated fish in the cracker crumbs until evenly coated."", ""Fry fish in the hot oil until lightly browned and fish flakes easily with a fork, about 5 minutes per side. Season fish with dill and salt.""]"	"""Spread crushed crackers onto a plate. Pour eggs into a shallow dish. Place fish in a 1-gallon plastic bag and add flour; gently shake until completely coated. Heat oil in a large, non-stick skillet over medium-high heat. Dip each flour-coated piece of fish in the egg, allowing excess to drip back into dish. Press coated fish in the cracker crumbs until evenly coated. Fry fish in the hot oil until lightly browned and fish flakes easily with a fork, about 5 minutes per side. Season fish with dill and salt. """	[68, 158, 220, 369]
220730	"""Easiest Falafel"""	"[""Place garbanzo beans, 1/4 cup panko bread crumbs, onion, 1/4 cup olive oil, egg, parsley, curry powder, garlic powder, lemon juice, and black pepper in a food processor or blender. Puree until coarse crumbles form. Blend more panko crumbs into mixture if it is too moist."", ""Roll mixture into balls about the size of a golf ball; place on a plate."", ""Press into patties and coat in panko bread crumbs."", ""Heat about 1-inch olive oil in a skillet over medium heat."", ""Pan-fry patties until crispy, about 3 minutes on each side.""]"	"""Place garbanzo beans, 1/4 cup panko bread crumbs, onion, 1/4 cup olive oil, egg, parsley, curry powder, garlic powder, lemon juice, and black pepper in a food processor or blender. Puree until coarse crumbles form. Blend more panko crumbs into mixture if it is too moist. Roll mixture into balls about the size of a golf ball; place on a plate. Press into patties and coat in panko bread crumbs. Heat about 1-inch olive oil in a skillet over medium heat. Pan-fry patties until crispy, about 3 minutes on each side. """	[271, 344, 395, 454]
239335	"""Senate Bean Soup from Idahoan&reg;"""	"[""Heat olive oil in stock pot over medium high heat."", ""Add chopped onion, celery, and carrots and cook until they begin to to soften slightly."", ""Add vegetable stock and ham bone. Bring to boil and reduce heat; simmer for an hour."", ""Remove ham bone from pot and pick off ham; return meat to pot. Add the beans."", ""Add package of Idahoan Roasted Garlic Flavored Mashed Potatoes and stir thoroughly."", ""Mix in chopped parsley and adjust seasoning if necessary. Cook for an additional 5 minutes and serve.""]"	"""Heat olive oil in stock pot over medium high heat. Add chopped onion, celery, and carrots and cook until they begin to to soften slightly. Add vegetable stock and ham bone. Bring to boil and reduce heat; simmer for an hour. Remove ham bone from pot and pick off ham; return meat to pot. Add the beans. Add package of Idahoan Roasted Garlic Flavored Mashed Potatoes and stir thoroughly. Mix in chopped parsley and adjust seasoning if necessary. Cook for an additional 5 minutes and serve. """	[50, 138, 223, 301, 385]
11669	"""Greek Pasta with Tomatoes and White Beans"""	"[""Cook the pasta in a large pot of boiling salted water until al dente."", ""Meanwhile, combine tomatoes and beans in a large non-stick skillet. Bring to a boil over medium high heat. Reduce heat, and simmer 10 minutes."", ""Add spinach to the sauce; cook for 2 minutes or until spinach wilts, stirring constantly."", ""Serve sauce over pasta, and sprinkle with feta.""]"	"""Cook the pasta in a large pot of boiling salted water until al dente. Meanwhile, combine tomatoes and beans in a large non-stick skillet. Bring to a boil over medium high heat. Reduce heat, and simmer 10 minutes. Add spinach to the sauce; cook for 2 minutes or until spinach wilts, stirring constantly. Serve sauce over pasta, and sprinkle with feta. """	[69, 212, 302]
220841	"""Easy Carrot Salad (Indian-Style)"""	"[""Toss carrots, chopped cilantro, and crushed peanuts together in a large bowl."", ""Stir lemon juice, sugar, and salt into carrot mixture."", ""Set aside long enough to allow the sugar to dissolve, about 10 minutes."", ""Garnish with cilantro to serve.""]"	"""Toss carrots, chopped cilantro, and crushed peanuts together in a large bowl. Stir lemon juice, sugar, and salt into carrot mixture. Set aside long enough to allow the sugar to dissolve, about 10 minutes. Garnish with cilantro to serve. """	[77, 132, 204]
17730	"""Breaded Center Cut Pork Chops"""	"[""Preheat oven to 375 degrees F (190 degrees C)."", ""Place the flour in a bowl. Combine the eggs and milk in a separate bowl, mixing together well, and then place the bread crumbs in another separate bowl. To the bread crumbs stir in the lemon pepper, parsley, garlic powder, dill and Italian-style seasoning."", ""Dip each chop into the flour, shaking off any excess flour, then dip into the egg/milk mixture, and, finally, dredge each chop liberally in the bread crumbs."", ""Lay the chops into a lightly greased 9x13 inch baking dish and pour water as needed into the dish, enough to just cover the bottom."", ""Bake for 40 minutes, then reduce heat to 325 degrees F (165 degrees C) for 20 more minutes.""]"	"""Preheat oven to 375 degrees F (190 degrees C). Place the flour in a bowl. Combine the eggs and milk in a separate bowl, mixing together well, and then place the bread crumbs in another separate bowl. To the bread crumbs stir in the lemon pepper, parsley, garlic powder, dill and Italian-style seasoning. Dip each chop into the flour, shaking off any excess flour, then dip into the egg/milk mixture, and, finally, dredge each chop liberally in the bread crumbs. Lay the chops into a lightly greased 9x13 inch baking dish and pour water as needed into the dish, enough to just cover the bottom. Bake for 40 minutes, then reduce heat to 325 degrees F (165 degrees C) for 20 more minutes. """	[46, 303, 461, 593]
230637	"""Lemon Pepper Fish Tacos"""	"[""Melt Saute Express&reg; square in 10-inch nonstick skillet over medium-low heat just until bubbles begin to form."", ""Add fish."", ""Saute 7-10 minutes or until golden brown on both sides and flaky. Remove from skillet."", ""Stir coleslaw and cilantro into skillet until coated and heated through."", ""Break fish into bite-sized pieces. Fill each taco shell with coleslaw mixture, fish and additional toppings.""]"	"""Melt Saute Express&reg; square in 10-inch nonstick skillet over medium-low heat just until bubbles begin to form. Add fish. Saute 7-10 minutes or until golden brown on both sides and flaky. Remove from skillet. Stir coleslaw and cilantro into skillet until coated and heated through. Break fish into bite-sized pieces. Fill each taco shell with coleslaw mixture, fish and additional toppings. """	[113, 123, 210, 283]
260192	"""Awesome Honey-Mustard Simple Salmon"""	"[""Place salmon fillets in a baking pan."", ""Set oven rack about 6 inches from the heat source and preheat the oven's broiler."", ""Combine Dijon mustard and honey in bowl. Spread over the salmon fillets."", ""Broil in the preheated oven until the mustard begins to blacken, about 6 minutes."", ""Turn fillets over; coat with the honey-mustard mixture from the bottom of the pan."", ""Return to the oven. Broil until mustard begins to blacken and fish flakes easily, about 6 minutes more.""]"	"""Place salmon fillets in a baking pan. Set oven rack about 6 inches from the heat source and preheat the oven's broiler. Combine Dijon mustard and honey in bowl. Spread over the salmon fillets. Broil in the preheated oven until the mustard begins to blacken, about 6 minutes. Turn fillets over; coat with the honey-mustard mixture from the bottom of the pan. Return to the oven. Broil until mustard begins to blacken and fish flakes easily, about 6 minutes more. """	[37, 119, 192, 274, 357]
232663	"""Roasted Cinnamon Chicken"""	"[""Preheat oven to 375 degrees F (190 degrees C)."", ""Sprinkle chicken halves generously with salt, pepper, and cinnamon. Put chicken in a roasting pan; pour water into pan."", ""Roast chicken in the preheated oven for 30 minutes."", ""Whisk maple syrup, lemon juice, and chile peppers together in a bowl; brush chicken with maple syrup mixture. Pour any remaining maple syrup mixture into the pan."", ""Cook chicken until no longer pink at the bone, juices run clear, and skin is lightly browned, 30 to 40 more minutes. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 165 degrees F (74 degrees C)."", ""Brush chicken with butter; bake until skin is crisp, 10 to 15 more minutes.""]"	"""Preheat oven to 375 degrees F (190 degrees C). Sprinkle chicken halves generously with salt, pepper, and cinnamon. Put chicken in a roasting pan; pour water into pan. Roast chicken in the preheated oven for 30 minutes. Whisk maple syrup, lemon juice, and chile peppers together in a bowl; brush chicken with maple syrup mixture. Pour any remaining maple syrup mixture into the pan. Cook chicken until no longer pink at the bone, juices run clear, and skin is lightly browned, 30 to 40 more minutes. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 165 degrees F (74 degrees C). Brush chicken with butter; bake until skin is crisp, 10 to 15 more minutes. """	[46, 166, 218, 381, 628]
220018	"""Grits a Ya Ya"""	"[""Bring the chicken stock to a boil in a saucepan over high heat."", ""Slowly pour the grits into the stock while stirring constantly."", ""Reduce heat to low; simmer until the grits are tender and thick, 15 to 20 minutes, stirring occasionally."", ""Stir in 1/4 cup heavy cream to thin the grits."", ""Stir in the Gouda cheese and 1/4 cup butter until melted and smooth."", ""While the grits are cooking, place the bacon in a large, deep skillet over medium heat; cook until the bacon fat is rendered, about 3 minutes."", ""Stir in the shallot and garlic; cooking and stirring until the shallots are tender, about 5 minutes."", ""Pour in the white wine and stir in 3 tablespoons butter, cooking and stirring until the butter has melted."", ""Drop the shrimp in the skillet; cook and stir until they are bright pink on the outside and the meat is no longer transparent in the center, about 3 minutes."", ""Stir in the spinach, mushrooms, and green onions; cook and stir until the spinach wilts, about 2 minutes more."", ""Remove the shrimp with a slotted spoon."", ""Stir in 2 cups heavy cream. Simmer until the cream is reduced by about a third, about 10 minutes."", ""Season with hot sauce, salt, and pepper."", ""Return the shrimp to the skillet to heat through."", ""Serve shrimp and sauce over the prepared grits.""]"	"""Bring the chicken stock to a boil in a saucepan over high heat. Slowly pour the grits into the stock while stirring constantly. Reduce heat to low; simmer until the grits are tender and thick, 15 to 20 minutes, stirring occasionally. Stir in 1/4 cup heavy cream to thin the grits. Stir in the Gouda cheese and 1/4 cup butter until melted and smooth. While the grits are cooking, place the bacon in a large, deep skillet over medium heat; cook until the bacon fat is rendered, about 3 minutes. Stir in the shallot and garlic; cooking and stirring until the shallots are tender, about 5 minutes. Pour in the white wine and stir in 3 tablespoons butter, cooking and stirring until the butter has melted. Drop the shrimp in the skillet; cook and stir until they are bright pink on the outside and the meat is no longer transparent in the center, about 3 minutes. Stir in the spinach, mushrooms, and green onions; cook and stir until the spinach wilts, about 2 minutes more. Remove the shrimp with a slotted spoon. Stir in 2 cups heavy cream. Simmer until the cream is reduced by about a third, about 10 minutes. Season with hot sauce, salt, and pepper. Return the shrimp to the skillet to heat through. Serve shrimp and sauce over the prepared grits. """	[63, 127, 233, 280, 349, 492, 593, 700, 858, 969, 1009, 1107, 1148, 1198]
220910	"""Slow Cooker, Easy Baked Potato Soup"""	"[""Put potatoes in the bottom of your slow cooker crock. Scatter flour over the potatoes; toss to coat."", ""Scatter bacon bits, red onion, garlic, chicken bouillon, ranch dressing mix, parsley, seasoned salt, and black pepper over the potatoes."", ""Pour water into the slow cooker."", ""Cook on Low 7 to 9 hours."", ""Pour half-and-half into the soup; cook another 15 minutes."", ""Garnish with Cheddar cheese and green onion to serve.""]"	"""Put potatoes in the bottom of your slow cooker crock. Scatter flour over the potatoes; toss to coat. Scatter bacon bits, red onion, garlic, chicken bouillon, ranch dressing mix, parsley, seasoned salt, and black pepper over the potatoes. Pour water into the slow cooker. Cook on Low 7 to 9 hours. Pour half-and-half into the soup; cook another 15 minutes. Garnish with Cheddar cheese and green onion to serve. """	[100, 237, 270, 296, 355]
220494	"""Chef John's Holiday Pumpkin Bread"""	"[""Preheat the oven to 325 degrees F (165 degrees C)."", ""Spray a 9x5-inch loaf pan with cooking spray."", ""Mix butter and sugar in a large bowl until light and fluffy."", ""Whisk in eggs one at a time until combined."", ""Whisk in the pumpkin puree, cinnamon, Chinese five-spice powder, and allspice until combined."", ""Stir flour, salt, baking powder, and baking soda into the pumpkin mixture and mix until just combined. Stir in chopped walnuts."", ""Pour batter into the prepared loaf pan."", ""Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour.""]"	"""Preheat the oven to 325 degrees F (165 degrees C). Spray a 9x5-inch loaf pan with cooking spray. Mix butter and sugar in a large bowl until light and fluffy. Whisk in eggs one at a time until combined. Whisk in the pumpkin puree, cinnamon, Chinese five-spice powder, and allspice until combined. Stir flour, salt, baking powder, and baking soda into the pumpkin mixture and mix until just combined. Stir in chopped walnuts. Pour batter into the prepared loaf pan. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour. """	[50, 96, 157, 201, 295, 423, 463]
247327	"""Low-Calorie Root Beer Mocha Frappe"""	"[""Pour root beer into an ice cube tray, adding water to fill the tray as needed."", ""Freeze until solid, 2 to 3 hours."", ""Combine frozen root beer, milk, chocolate syrup, caramel syrup, instant coffee, vanilla extract, and sweetener in a blender; blend until smooth.""]"	"""Pour root beer into an ice cube tray, adding water to fill the tray as needed. Freeze until solid, 2 to 3 hours. Combine frozen root beer, milk, chocolate syrup, caramel syrup, instant coffee, vanilla extract, and sweetener in a blender; blend until smooth. """	[78, 112]
246350	"""Easy Cloud Bread"""	"[""Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper."", ""Beat egg whites and cream of tartar together in a bowl until stiff peaks form."", ""Mix egg yolks, cream cheese, and sugar together in a separate bowl using a wooden spoon and then mixing with a hand-held egg beater until mixture is very smooth and has no visible cream cheese. Gently fold egg whites into cream cheese mixture, taking care not to deflate the egg whites."", ""Carefully scoop mixture onto the prepared baking sheet, forming 5 to 6 \""buns\""."", ""Bake in the preheated oven until cloud bread is lightly browned, about 30 minutes.""]"	"""Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper. Beat egg whites and cream of tartar together in a bowl until stiff peaks form. Mix egg yolks, cream cheese, and sugar together in a separate bowl using a wooden spoon and then mixing with a hand-held egg beater until mixture is very smooth and has no visible cream cheese. Gently fold egg whites into cream cheese mixture, taking care not to deflate the egg whites. Carefully scoop mixture onto the prepared baking sheet, forming 5 to 6 \""buns\"". Bake in the preheated oven until cloud bread is lightly browned, about 30 minutes. """	[88, 167, 454, 533]
220212	"""Parmesan Crusted Chicken Strips"""	"[""Place Parmesan cheese into a shallow bowl."", ""Beat eggs and water together in a bowl."", ""Dip chicken strips into the egg mixture."", ""Press chicken into Parmesan cheese. Gently toss between your hands so any cheese crumbs that haven't stuck can fall away. Place the coated chicken onto a plate while coating the rest; do not stack."", ""Heat vegetable oil in a large skillet over medium heat. Pan-fry chicken strips in batches until no longer pink in the center and crust is golden brown, about 4 minutes on each side.""]"	"""Place Parmesan cheese into a shallow bowl. Beat eggs and water together in a bowl. Dip chicken strips into the egg mixture. Press chicken into Parmesan cheese. Gently toss between your hands so any cheese crumbs that haven't stuck can fall away. Place the coated chicken onto a plate while coating the rest; do not stack. Heat vegetable oil in a large skillet over medium heat. Pan-fry chicken strips in batches until no longer pink in the center and crust is golden brown, about 4 minutes on each side. """	[42, 82, 123, 321]
257080	"""Mashed Purple Sweet Potato"""	"[""Place sweet potato into a pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 15 minutes. Drain."", ""Peel sweet potato; mash in a bowl."", ""Heat coconut oil in a skillet over medium heat; cook and stir mashed sweet potato until moisture evaporates, about 5 minutes."", ""Place sweet potato in a bowl and top with boiled peanuts, peanut butter, and coconut cream.""]"	"""Place sweet potato into a pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 15 minutes. Drain. Peel sweet potato; mash in a bowl. Heat coconut oil in a skillet over medium heat; cook and stir mashed sweet potato until moisture evaporates, about 5 minutes. Place sweet potato in a bowl and top with boiled peanuts, peanut butter, and coconut cream. """	[151, 186, 312]
233430	"""Spiced Lemonade Concentrate"""	"[""Combine water, sugar, cinnamon stick, cloves, and lemon zest in a saucepan; cook and stir over medium heat until just boiling, about 5 minutes."", ""Reduce heat to medium-low and continue to cook until reduced to a thick syrup, 10 to 15 minutes."", ""Stir lemon juice into the syrup; bring to a boil and cook 1 to 2 minutes more; strain into a bowl and refrigerate until chilled.""]"	"""Combine water, sugar, cinnamon stick, cloves, and lemon zest in a saucepan; cook and stir over medium heat until just boiling, about 5 minutes. Reduce heat to medium-low and continue to cook until reduced to a thick syrup, 10 to 15 minutes. Stir lemon juice into the syrup; bring to a boil and cook 1 to 2 minutes more; strain into a bowl and refrigerate until chilled. """	[143, 240]
9600	"""Sour Cream-Rhubarb Squares"""	"[""Preheat oven to 350 degrees F. Grease and flour 13 x 9 x 2 inch pan."", ""Mix sugar, nuts, melted butter and cinnamon until crumbly and set aside."", ""In a separate bowl, cream together brown sugar, shortening and egg."", ""Add flour, soda and salt to creamed mixture alternately with sour cream. Lastly, stir in rhubarb."", ""Pour mixture into pan and sprinkle with reserved topping."", ""Bake at 350 degrees F for 45 to 50 minutes. Cut in squares and serve warm or cool.""]"	"""Preheat oven to 350 degrees F. Grease and flour 13 x 9 x 2 inch pan. Mix sugar, nuts, melted butter and cinnamon until crumbly and set aside. In a separate bowl, cream together brown sugar, shortening and egg. Add flour, soda and salt to creamed mixture alternately with sour cream. Lastly, stir in rhubarb. Pour mixture into pan and sprinkle with reserved topping. Bake at 350 degrees F for 45 to 50 minutes. Cut in squares and serve warm or cool. """	[68, 141, 209, 307, 365]
31508	"""Connoisseur's Casserole"""	"[""Preheat oven to 350 degrees F (175 degrees C)."", ""In a medium bowl, mix white corn, green beans, celery, onion, pimento peppers, sour cream, Colby cheese, cream of celery soup, salt, and pepper. Transfer to a 1 1/2 quart casserole dish."", ""Melt butter in a small saucepan over medium heat, and stir in slivered almonds and crushed crackers. Sprinkle over the casserole."", ""Bake for 45 minutes in the preheated oven, or until bubbly and lightly browned.""]"	"""Preheat oven to 350 degrees F (175 degrees C). In a medium bowl, mix white corn, green beans, celery, onion, pimento peppers, sour cream, Colby cheese, cream of celery soup, salt, and pepper. Transfer to a 1 1/2 quart casserole dish. Melt butter in a small saucepan over medium heat, and stir in slivered almonds and crushed crackers. Sprinkle over the casserole. Bake for 45 minutes in the preheated oven, or until bubbly and lightly browned. """	[46, 233, 363]
16378	"""Easy Pork Chop Casserole"""	"[""Preheat oven to 350 degrees F (175 degrees C)."", ""In a medium bowl, combine the mushroom soup, onion soup mix, water and mushrooms."", ""In a large skillet over medium-high heat, brown the pork chops on each side. Transfer chops to a 9x9 inch baking dish, and cover with the mushroom soup mixture."", ""Bake in the preheated oven for 1 1/2 hours, or until internal pork temperature reaches 145 degrees F (63 degrees C).""]"	"""Preheat oven to 350 degrees F (175 degrees C). In a medium bowl, combine the mushroom soup, onion soup mix, water and mushrooms. In a large skillet over medium-high heat, brown the pork chops on each side. Transfer chops to a 9x9 inch baking dish, and cover with the mushroom soup mixture. Bake in the preheated oven for 1 1/2 hours, or until internal pork temperature reaches 145 degrees F (63 degrees C). """	[46, 128, 289]
